指标,年份,数值,省份
全体居民人均消费支出 (元) ,2021,,上海市
城镇居民人均消费支出 (元) ,2021,,上海市
农村居民人均消费支出 (元) ,2021,,上海市
全体居民人均消费支出 (元) ,2022,52722.0,上海市
城镇居民人均消费支出 (元) ,2022,54980.0,上海市
农村居民人均消费支出 (元) ,2022,32320.0,上海市
全体居民人均消费支出 (元) ,2023,52508.0,上海市
城镇居民人均消费支出 (元) ,2023,54919.0,上海市
农村居民人均消费支出 (元) ,2023,30782.0,上海市
全体居民人均消费支出 (元) ,2024,46045.0,上海市
城镇居民人均消费支出 (元) ,2024,48111.0,上海市
农村居民人均消费支出 (元) ,2024,27430.0,上海市
全体居民人均消费支出 (元) ,2025,48879.0,上海市
城镇居民人均消费支出 (元) ,2025,51295.0,上海市
农村居民人均消费支出 (元) ,2025,27205.0,上海市
全体居民人均消费支出 (元) ,2021,,云南省
城镇居民人均消费支出 (元) ,2021,,云南省
农村居民人均消费支出 (元) ,2021,,云南省
全体居民人均消费支出 (元) ,2022,22280.0,云南省
城镇居民人均消费支出 (元) ,2022,29755.0,云南省
农村居民人均消费支出 (元) ,2022,16214.0,云南省
全体居民人均消费支出 (元) ,2023,20995.0,云南省
城镇居民人均消费支出 (元) ,2023,28338.0,云南省
农村居民人均消费支出 (元) ,2023,15147.0,云南省
全体居民人均消费支出 (元) ,2024,18951.0,云南省
城镇居民人均消费支出 (元) ,2024,26240.0,云南省
农村居民人均消费支出 (元) ,2024,13309.0,云南省
全体居民人均消费支出 (元) ,2025,18851.0,云南省
城镇居民人均消费支出 (元) ,2025,27441.0,云南省
农村居民人均消费支出 (元) ,2025,12386.0,云南省
全体居民人均消费支出 (元) ,2021,,内蒙古自治区
城镇居民人均消费支出 (元) ,2021,,内蒙古自治区
农村居民人均消费支出 (元) ,2021,,内蒙古自治区
全体居民人均消费支出 (元) ,2022,28113.0,内蒙古自治区
城镇居民人均消费支出 (元) ,2022,33342.0,内蒙古自治区
农村居民人均消费支出 (元) ,2022,19631.0,内蒙古自治区
全体居民人均消费支出 (元) ,2023,27025.0,内蒙古自治区
城镇居民人均消费支出 (元) ,2023,32249.0,内蒙古自治区
农村居民人均消费支出 (元) ,2023,18650.0,内蒙古自治区
全体居民人均消费支出 (元) ,2024,22298.0,内蒙古自治区
城镇居民人均消费支出 (元) ,2024,26667.0,内蒙古自治区
农村居民人均消费支出 (元) ,2024,15444.0,内蒙古自治区
全体居民人均消费支出 (元) ,2025,22658.0,内蒙古自治区
城镇居民人均消费支出 (元) ,2025,27194.0,内蒙古自治区
农村居民人均消费支出 (元) ,2025,15691.0,内蒙古自治区
全体居民人均消费支出 (元) ,2021,,北京市
城镇居民人均消费支出 (元) ,2021,,北京市
农村居民人均消费支出 (元) ,2021,,北京市
全体居民人均消费支出 (元) ,2022,49748.0,北京市
城镇居民人均消费支出 (元) ,2022,53214.0,北京市
农村居民人均消费支出 (元) ,2022,27349.0,北京市
全体居民人均消费支出 (元) ,2023,47586.0,北京市
城镇居民人均消费支出 (元) ,2023,50897.0,北京市
农村居民人均消费支出 (元) ,2023,26277.0,北京市
全体居民人均消费支出 (元) ,2024,42683.0,北京市
城镇居民人均消费支出 (元) ,2024,45617.0,北京市
农村居民人均消费支出 (元) ,2024,23745.0,北京市
全体居民人均消费支出 (元) ,2025,43640.0,北京市
城镇居民人均消费支出 (元) ,2025,46776.0,北京市
农村居民人均消费支出 (元) ,2025,23574.0,北京市
全体居民人均消费支出 (元) ,2021,,吉林省
城镇居民人均消费支出 (元) ,2021,,吉林省
农村居民人均消费支出 (元) ,2021,,吉林省
全体居民人均消费支出 (元) ,2022,23118.0,吉林省
城镇居民人均消费支出 (元) ,2022,28770.0,吉林省
农村居民人均消费支出 (元) ,2022,15467.0,吉林省
全体居民人均消费支出 (元) ,2023,21411.0,吉林省
城镇居民人均消费支出 (元) ,2023,26677.0,吉林省
农村居民人均消费支出 (元) ,2023,14354.0,吉林省
全体居民人均消费支出 (元) ,2024,17898.0,吉林省
城镇居民人均消费支出 (元) ,2024,21835.0,吉林省
农村居民人均消费支出 (元) ,2024,12729.0,吉林省
全体居民人均消费支出 (元) ,2025,19605.0,吉林省
城镇居民人均消费支出 (元) ,2025,24421.0,吉林省
农村居民人均消费支出 (元) ,2025,13411.0,吉林省
