指标,年份,数值,省份
全体居民人均可支配收入 (元) ,2025年,,上海市
城镇居民人均可支配收入 (元) ,2025年,,上海市
农村居民人均可支配收入 (元) ,2025年,,上海市
全体居民人均可支配收入 (元) ,2024年,88366.0,上海市
城镇居民人均可支配收入 (元) ,2024年,93095.0,上海市
农村居民人均可支配收入 (元) ,2024年,45644.0,上海市
全体居民人均可支配收入 (元) ,2023年,84834.0,上海市
城镇居民人均可支配收入 (元) ,2023年,89477.0,上海市
农村居民人均可支配收入 (元) ,2023年,42988.0,上海市
全体居民人均可支配收入 (元) ,2022年,79610.0,上海市
城镇居民人均可支配收入 (元) ,2022年,84034.0,上海市
农村居民人均可支配收入 (元) ,2022年,39729.0,上海市
全体居民人均可支配收入 (元) ,2021年,78027.0,上海市
城镇居民人均可支配收入 (元) ,2021年,82429.0,上海市
农村居民人均可支配收入 (元) ,2021年,38521.0,上海市
全体居民人均可支配收入 (元) ,2025年,,云南省
城镇居民人均可支配收入 (元) ,2025年,,云南省
农村居民人均可支配收入 (元) ,2025年,,云南省
全体居民人均可支配收入 (元) ,2024年,29932.0,云南省
城镇居民人均可支配收入 (元) ,2024年,45312.0,云南省
农村居民人均可支配收入 (元) ,2024年,17450.0,云南省
全体居民人均可支配收入 (元) ,2023年,28421.0,云南省
城镇居民人均可支配收入 (元) ,2023年,43563.0,云南省
农村居民人均可支配收入 (元) ,2023年,16361.0,云南省
全体居民人均可支配收入 (元) ,2022年,26937.0,云南省
城镇居民人均可支配收入 (元) ,2022年,42168.0,云南省
农村居民人均可支配收入 (元) ,2022年,15147.0,云南省
全体居民人均可支配收入 (元) ,2021年,25666.0,云南省
城镇居民人均可支配收入 (元) ,2021年,40905.0,云南省
农村居民人均可支配收入 (元) ,2021年,14197.0,云南省
全体居民人均可支配收入 (元) ,2025年,,内蒙古自治区
城镇居民人均可支配收入 (元) ,2025年,,内蒙古自治区
农村居民人均可支配收入 (元) ,2025年,,内蒙古自治区
全体居民人均可支配收入 (元) ,2024年,40077.0,内蒙古自治区
城镇居民人均可支配收入 (元) ,2024年,50888.0,内蒙古自治区
农村居民人均可支配收入 (元) ,2024年,22543.0,内蒙古自治区
全体居民人均可支配收入 (元) ,2023年,38130.0,内蒙古自治区
城镇居民人均可支配收入 (元) ,2023年,48676.0,内蒙古自治区
