指标,年份,数值,省份
全体居民人均可支配收入 (元),2024,88366.0,上海市
城镇居民人均可支配收入 (元),2024,93095.0,上海市
农村居民人均可支配收入 (元),2024,45644.0,上海市
全体居民人均可支配收入 (元),2023,84834.0,上海市
城镇居民人均可支配收入 (元),2023,89477.0,上海市
农村居民人均可支配收入 (元),2023,42988.0,上海市
全体居民人均可支配收入 (元),2022,79610.0,上海市
城镇居民人均可支配收入 (元),2022,84034.0,上海市
农村居民人均可支配收入 (元),2022,39729.0,上海市
全体居民人均可支配收入 (元),2021,78027.0,上海市
城镇居民人均可支配收入 (元),2021,82429.0,上海市
农村居民人均可支配收入 (元),2021,38521.0,上海市
全体居民人均可支配收入 (元),2024,29932.0,云南省
城镇居民人均可支配收入 (元),2024,45312.0,云南省
农村居民人均可支配收入 (元),2024,17450.0,云南省
全体居民人均可支配收入 (元),2023,28421.0,云南省
城镇居民人均可支配收入 (元),2023,43563.0,云南省
农村居民人均可支配收入 (元),2023,16361.0,云南省
全体居民人均可支配收入 (元),2022,26937.0,云南省
城镇居民人均可支配收入 (元),2022,42168.0,云南省
农村居民人均可支配收入 (元),2022,15147.0,云南省
全体居民人均可支配收入 (元),2021,25666.0,云南省
城镇居民人均可支配收入 (元),2021,40905.0,云南省
农村居民人均可支配收入 (元),2021,14197.0,云南省
全体居民人均可支配收入 (元),2024,40077.0,内蒙古自治区
城镇居民人均可支配收入 (元),2024,50888.0,内蒙古自治区
农村居民人均可支配收入 (元),2024,22543.0,内蒙古自治区
全体居民人均可支配收入 (元),2023,38130.0,内蒙古自治区
城镇居民人均可支配收入 (元),2023,48676.0,内蒙古自治区
农村居民人均可支配收入 (元),2023,21221.0,内蒙古自治区
全体居民人均可支配收入 (元),2022,35921.0,内蒙古自治区
城镇居民人均可支配收入 (元),2022,46295.0,内蒙古自治区
农村居民人均可支配收入 (元),2022,19641.0,内蒙古自治区
全体居民人均可支配收入 (元),2021,34108.0,内蒙古自治区
城镇居民人均可支配收入 (元),2021,44377.0,内蒙古自治区
农村居民人均可支配收入 (元),2021,18337.0,内蒙古自治区
全体居民人均可支配收入 (元),2024,85415.0,北京市
城镇居民人均可支配收入 (元),2024,92464.0,北京市
农村居民人均可支配收入 (元),2024,39856.0,北京市
全体居民人均可支配收入 (元),2023,81752.0,北京市
城镇居民人均可支配收入 (元),2023,88650.0,北京市
农村居民人均可支配收入 (元),2023,37358.0,北京市
全体居民人均可支配收入 (元),2022,77415.0,北京市
城镇居民人均可支配收入 (元),2022,84023.0,北京市
农村居民人均可支配收入 (元),2022,34754.0,北京市
全体居民人均可支配收入 (元),2021,75002.0,北京市
城镇居民人均可支配收入 (元),2021,81518.0,北京市
农村居民人均可支配收入 (元),2021,33303.0,北京市
全体居民人均可支配收入 (元),2024,31318.0,吉林省
城镇居民人均可支配收入 (元),2024,39157.0,吉林省
农村居民人均可支配收入 (元),2024,20704.0,吉林省
全体居民人均可支配收入 (元),2023,29797.0,吉林省
城镇居民人均可支配收入 (元),2023,37503.0,吉林省
农村居民人均可支配收入 (元),2023,19472.0,吉林省
全体居民人均可支配收入 (元),2022,27975.0,吉林省
城镇居民人均可支配收入 (元),2022,35471.0,吉林省
农村居民人均可支配收入 (元),2022,18134.0,吉林省
全体居民人均可支配收入 (元),2021,27770.0,吉林省
城镇居民人均可支配收入 (元),2021,35646.0,吉林省
农村居民人均可支配收入 (元),2021,17642.0,吉林省
全体居民人均可支配收入 (元),2024,34325.0,四川省
城镇居民人均可支配收入 (元),2024,47336.0,四川省
农村居民人均可支配收入 (元),2024,21303.0,四川省
全体居民人均可支配收入 (元),2023,32514.0,四川省
城镇居民人均可支配收入 (元),2023,45227.0,四川省
农村居民人均可支配收入 (元),2023,19978.0,四川省
全体居民人均可支配收入 (元),2022,30679.0,四川省
城镇居民人均可支配收入 (元),2022,43233.0,四川省
农村居民人均可支配收入 (元),2022,18672.0,四川省
全体居民人均可支配收入 (元),2021,29080.0,四川省
城镇居民人均可支配收入 (元),2021,41444.0,四川省
农村居民人均可支配收入 (元),2021,17575.0,四川省
全体居民人均可支配收入 (元),2024,53581.0,天津市
城镇居民人均可支配收入 (元),2024,57705.0,天津市
农村居民人均可支配收入 (元),2024,32715.0,天津市
全体居民人均可支配收入 (元),2023,51271.0,天津市
城镇居民人均可支配收入 (元),2023,55355.0,天津市
农村居民人均可支配收入 (元),2023,30851.0,天津市
全体居民人均可支配收入 (元),2022,48976.0,天津市
城镇居民人均可支配收入 (元),2022,53003.0,天津市
农村居民人均可支配收入 (元),2022,29018.0,天津市
全体居民人均可支配收入 (元),2021,47449.0,天津市
城镇居民人均可支配收入 (元),2021,51486.0,天津市
农村居民人均可支配收入 (元),2021,27955.0,天津市
全体居民人均可支配收入 (元),2024,33355.0,宁夏回族自治区
城镇居民人均可支配收入 (元),2024,44449.0,宁夏回族自治区
农村居民人均可支配收入 (元),2024,19015.0,宁夏回族自治区
全体居民人均可支配收入 (元),2023,31604.0,宁夏回族自治区
城镇居民人均可支配收入 (元),2023,42395.0,宁夏回族自治区
农村居民人均可支配收入 (元),2023,17772.0,宁夏回族自治区
全体居民人均可支配收入 (元),2022,29599.0,宁夏回族自治区
城镇居民人均可支配收入 (元),2022,40194.0,宁夏回族自治区
农村居民人均可支配收入 (元),2022,16430.0,宁夏回族自治区
全体居民人均可支配收入 (元),2021,27904.0,宁夏回族自治区
城镇居民人均可支配收入 (元),2021,38291.0,宁夏回族自治区
农村居民人均可支配收入 (元),2021,15337.0,宁夏回族自治区
全体居民人均可支配收入 (元),2024,36782.0,安徽省
城镇居民人均可支配收入 (元),2024,49539.0,安徽省
农村居民人均可支配收入 (元),2024,22507.0,安徽省
全体居民人均可支配收入 (元),2023,34893.0,安徽省
城镇居民人均可支配收入 (元),2023,47446.0,安徽省
农村居民人均可支配收入 (元),2023,21144.0,安徽省
全体居民人均可支配收入 (元),2022,32745.0,安徽省
城镇居民人均可支配收入 (元),2022,45133.0,安徽省
农村居民人均可支配收入 (元),2022,19575.0,安徽省
全体居民人均可支配收入 (元),2021,30904.0,安徽省
城镇居民人均可支配收入 (元),2021,43009.0,安徽省
农村居民人均可支配收入 (元),2021,18372.0,安徽省
全体居民人均可支配收入 (元),2024,42077.0,山东省
城镇居民人均可支配收入 (元),2024,54062.0,山东省
农村居民人均可支配收入 (元),2024,25257.0,山东省
全体居民人均可支配收入 (元),2023,39890.0,山东省
城镇居民人均可支配收入 (元),2023,51571.0,山东省
农村居民人均可支配收入 (元),2023,23776.0,山东省
全体居民人均可支配收入 (元),2022,37560.0,山东省
城镇居民人均可支配收入 (元),2022,49050.0,山东省
农村居民人均可支配收入 (元),2022,22110.0,山东省
全体居民人均可支配收入 (元),2021,35705.0,山东省
城镇居民人均可支配收入 (元),2021,47066.0,山东省
农村居民人均可支配收入 (元),2021,20794.0,山东省
全体居民人均可支配收入 (元),2024,32441.0,山西省
城镇居民人均可支配收入 (元),2024,43036.0,山西省
农村居民人均可支配收入 (元),2024,18741.0,山西省
全体居民人均可支配收入 (元),2023,30924.0,山西省
城镇居民人均可支配收入 (元),2023,41327.0,山西省
农村居民人均可支配收入 (元),2023,17677.0,山西省
全体居民人均可支配收入 (元),2022,29178.0,山西省
城镇居民人均可支配收入 (元),2022,39532.0,山西省
农村居民人均可支配收入 (元),2022,16323.0,山西省
全体居民人均可支配收入 (元),2021,27426.0,山西省
城镇居民人均可支配收入 (元),2021,37433.0,山西省
农村居民人均可支配收入 (元),2021,15308.0,山西省
全体居民人均可支配收入 (元),2024,51474.0,广东省
城镇居民人均可支配收入 (元),2024,61629.0,广东省
农村居民人均可支配收入 (元),2024,26729.0,广东省
全体居民人均可支配收入 (元),2023,49327.0,广东省
城镇居民人均可支配收入 (元),2023,59307.0,广东省
农村居民人均可支配收入 (元),2023,25142.0,广东省
全体居民人均可支配收入 (元),2022,47065.0,广东省
城镇居民人均可支配收入 (元),2022,56905.0,广东省
农村居民人均可支配收入 (元),2022,23598.0,广东省
全体居民人均可支配收入 (元),2021,44993.0,广东省
城镇居民人均可支配收入 (元),2021,54854.0,广东省
农村居民人均可支配收入 (元),2021,22306.0,广东省
全体居民人均可支配收入 (元),2024,31125.0,广西壮族自治区
城镇居民人均可支配收入 (元),2024,43044.0,广西壮族自治区
农村居民人均可支配收入 (元),2024,19954.0,广西壮族自治区
全体居民人均可支配收入 (元),2023,29514.0,广西壮族自治区
城镇居民人均可支配收入 (元),2023,41287.0,广西壮族自治区
农村居民人均可支配收入 (元),2023,18656.0,广西壮族自治区
全体居民人均可支配收入 (元),2022,27981.0,广西壮族自治区
